video games        912397912.571000  913326
clothing           910977140.473002  911487
automotive         908415467.408997  904962
baby products      907209859.993999  907186
beauty products    906504884.267000  906417
gardening tools    906070218.388996  905841
music instruments  902120133.271000  902389
furniture          901285980.204999  900244
pet supplies       899107637.866000  896724
electronics        898497998.997001  903266
stationery         898114965.301999  898265
home appliances    895875691.953000  895815
groceries          895411580.868999  895470
footwear           895123588.283001  894424
jewelry            894579171.030998  893980
sports equipment   894458716.137000  894287
office equipment   894168819.496001  892370
health & wellness  893019675.524003  890475
toys               892651794.738999  892741
books              889584667.747998  890948
